,me_ce,ee_ce,l_chemo,lin_sat_cf,ve_dir,ve_der,ve_sec,n_regions,mean_l_area,std_l_area,len_network,mean_n_width,std_n_width
sim_27,4.0,14.92,500.0,0.1,1.0,0.3,0.3,62.0,358.0483870967742,329.9130592913032,4713.0,1.6484051050639472,0.6026412536445196
sim_28,4.0,13.48,500.0,0.1,1.0,0.3,0.3,58.0,391.58620689655174,443.6107347074475,4615.0,1.7002252476028432,0.659313705645325
sim_29,4.0,13.96,500.0,0.1,1.0,0.3,0.3,65.0,355.5076923076923,296.501764066716,4663.0,1.6723906030323101,0.6114043058838965
sim_30,4.0,1.0,30.34,0.1,1.0,0.3,0.3,1.0,12.0,0.0,1284.0,8.551575740489278,4.718789018398483
sim_31,4.0,1.0,10.0,0.1,1.0,0.3,0.3,0.0,0.0,0.0,1026.0,8.922472625297463,5.391550749347184
sim_32,4.0,1.0,50.68,0.1,1.0,0.3,0.3,0.0,0.0,0.0,1835.0,6.624095701745158,3.312982349323318
sim_33,4.0,1.0,71.02,0.1,1.0,0.3,0.3,5.0,2157.4,1980.3588159724995,2139.0,6.218200080403994,3.490948679503169
sim_34,4.0,1.0,111.7,0.1,1.0,0.3,0.3,14.0,1267.9285714285713,908.1523207893609,2235.0,5.065860473100004,2.3174586758047835
sim_35,4.0,1.0,91.36,0.1,1.0,0.3,0.3,15.0,1066.8666666666666,835.1118780671778,2314.0,5.061420345643192,2.326150957393926
sim_36,4.0,1.0,132.04,0.1,1.0,0.3,0.3,18.0,835.2222222222222,733.388449107259,2609.0,4.330263807925757,2.1920235254349762
sim_37,4.0,1.0,152.38,0.1,1.0,0.3,0.3,22.0,682.6818181818181,575.5565201187801,2831.0,3.952920643909566,1.83667054387366
sim_38,4.0,1.0,172.72,0.1,1.0,0.3,0.3,23.0,903.0,767.4060203047667,2598.0,3.8901690486519027,1.674008529655785
sim_39,4.0,1.0,193.06,0.1,1.0,0.3,0.3,27.0,729.0370370370371,787.0503998865582,2935.0,3.487465416126044,1.5201443366911584
sim_40,4.0,1.0,213.4,0.1,1.0,0.3,0.3,33.0,637.6060606060606,543.4617401377692,3108.0,3.1690031948717894,1.3407120649052426
sim_41,4.0,1.0,233.74,0.1,1.0,0.3,0.3,35.0,537.5428571428571,520.174275348843,3293.0,2.9277491379244145,1.1995472443872603
sim_42,4.0,1.0,254.08,0.1,1.0,0.3,0.3,40.0,521.325,474.0799187637038,3463.0,2.811764452372467,1.2358882954896926
sim_43,4.0,1.0,274.42,0.1,1.0,0.3,0.3,42.0,507.57142857142856,431.6129848689483,3411.0,2.7543186532345447,1.1653439905493075
sim_44,4.0,1.0,294.76,0.1,1.0,0.3,0.3,42.0,534.1666666666666,385.2131084073969,3412.0,2.619510480317383,1.0781886440068935
sim_45,4.0,1.0,376.12,0.1,1.0,0.3,0.3,46.0,492.6521739130435,365.4014598261756,3574.0,2.349206793027335,0.9827708398281912
sim_46,4.0,1.0,315.1,0.1,1.0,0.3,0.3,40.0,527.6,375.2135258756006,3576.0,2.5484329459789654,1.1187379188329383
sim_47,4.0,1.0,355.78,0.1,1.0,0.3,0.3,51.0,426.3529411764706,328.6613265800963,3761.0,2.3180468271887094,0.9202244950364364
sim_48,4.0,1.0,335.44,0.1,1.0,0.3,0.3,44.0,468.75,286.32261881565444,3628.0,2.4271764660967863,1.0045072969333755
sim_49,4.0,1.0,396.46,0.1,1.0,0.3,0.3,51.0,468.47058823529414,313.56697711166606,3711.0,2.2446803743605264,0.8978840621092411
